item,co2,unit,category,source
rice croquette,4.45,0.07,food,Existing Dataset
rice pilaf,4.45,0.057,food,Existing Dataset
dirty rice,4.45,0.098,food,Existing Dataset
flavored rice mixture,4.45,0.06,food,Existing Dataset
flavored rice mixture with cheese,23.88,0.065,food,Existing Dataset
"flavored rice, brown and wild",4.45,0.105,food,Existing Dataset
flavored rice and pasta mixture,4.45,0.05,food,Existing Dataset
"flavored rice and pasta mixture, reduced sodium",4.45,0.067,food,Existing Dataset
"spanish rice, from restaurant",4.45,0.065,food,Existing Dataset
"spanish rice, fat added",4.45,0.077,food,Existing Dataset
"spanish rice, no added fat",4.45,0.078,food,Existing Dataset
"spanish rice, ns as to fat",4.45,0.077,food,Existing Dataset
spanish rice with ground beef,99.48,0.081,food,Existing Dataset
rice dressing,4.45,0.058,food,Existing Dataset
rice with raisins,4.45,0.086,food,Existing Dataset
rice dessert or salad with fruit,4.45,0.077,food,Existing Dataset
"rice, white, with cheese and/or cream based sauce, ns as to fat",4.45,0.051,food,Existing Dataset
"rice, white, with cheese and/or cream based sauce, no added fat",4.45,0.052,food,Existing Dataset
"rice, white, with cheese and/or cream based sauce, fat added",4.45,0.051,food,Existing Dataset
"rice, white, with gravy, ns as to fat",4.45,0.051,food,Existing Dataset
"rice, white, with gravy, no added fat",4.45,0.052,food,Existing Dataset
"rice, white, with gravy, fat added",4.45,0.051,food,Existing Dataset
"rice, white, with soy-based sauce, ns as to fat",4.45,0.05,food,Existing Dataset
"rice, white, with soy-based sauce, no added fat",4.45,0.051,food,Existing Dataset
"rice, white, with soy-based sauce, fat added",4.45,0.05,food,Existing Dataset
"rice, brown, with cheese and/or cream based sauce, ns as to fat",4.45,0.079,food,Existing Dataset
"rice, brown, with cheese and/or cream based sauce, no added fat",4.45,0.08,food,Existing Dataset
"rice, brown, with cheese and/or cream based sauce, fat added",4.45,0.079,food,Existing Dataset
"rice, brown, with gravy, ns as to fat",4.45,0.079,food,Existing Dataset
"rice, brown, with gravy, no added fat",4.45,0.08,food,Existing Dataset
"rice, brown, with gravy, fat added",4.45,0.079,food,Existing Dataset
"rice, brown, with soy-based sauce, ns as to fat",4.45,0.078,food,Existing Dataset
"rice, brown, with soy-based sauce, no added fat",4.45,0.079,food,Existing Dataset
"rice, brown, with soy-based sauce, fat added",4.45,0.078,food,Existing Dataset
"rice, white, with vegetables, cheese and/or cream based sauce, ns as to fat",4.45,0.057,food,Existing Dataset
"rice, white, with vegetables, cheese and/or cream based sauce, no added fat",4.45,0.058,food,Existing Dataset
"rice, white, with vegetables, cheese and/or cream based sauce, fat added",4.45,0.057,food,Existing Dataset
"rice, white, with vegetables and gravy, ns as to fat",4.45,0.057,food,Existing Dataset
"rice, white, with vegetables and gravy, no added fat",4.45,0.058,food,Existing Dataset
"rice, white, with vegetables and gravy, fat added",4.45,0.057,food,Existing Dataset
"rice, white, with vegetables, soy-based sauce, ns as to fat",4.45,0.056,food,Existing Dataset
"rice, white, with vegetables, soy-based sauce, no added fat",4.45,0.057,food,Existing Dataset
"rice, white, with vegetables, soy-based sauce, fat added",4.45,0.056,food,Existing Dataset
"rice, brown, with vegetables, cheese and/or cream based sauce, ns as to fat",4.45,0.08,food,Existing Dataset
"rice, brown, with vegetables, cheese and/or cream based sauce, no added fat",4.45,0.081,food,Existing Dataset
"rice, brown, with vegetables, cheese and/or cream based sauce, fat added",4.45,0.08,food,Existing Dataset
"rice, brown, with vegetables and gravy, ns as to fat",4.45,0.08,food,Existing Dataset
"rice, brown, with vegetables and gravy, no added fat",4.45,0.081,food,Existing Dataset
"rice, brown, with vegetables and gravy, fat added",4.45,0.08,food,Existing Dataset
"rice, brown, with vegetables, soy-based sauce, ns as to fat",4.45,0.079,food,Existing Dataset
"rice, brown, with vegetables, soy-based sauce, no added fat",4.45,0.08,food,Existing Dataset
"rice, brown, with vegetables, soy-based sauce, fat added",4.45,0.079,food,Existing Dataset
"lasagna with cheese and meat sauce, diet frozen meal",23.88,0.143,food,Existing Dataset
"macaroni and cheese, diet frozen meal",23.88,0.056,food,Existing Dataset
"beef and noodles with meat sauce and cheese, diet frozen meal",99.48,0.143,food,Existing Dataset
"linguini with vegetables and seafood in white wine sauce, diet frozen meal",1.79,0.053,food,Existing Dataset
"pasta with vegetable and cheese sauce, diet frozen meal",23.88,0.069,food,Existing Dataset
"beef enchilada dinner, nfs, frozen meal",99.48,0.09,food,Existing Dataset
"beef enchilada, chili gravy, rice, refried beans, frozen meal",99.48,0.09,food,Existing Dataset
"cheese enchilada, frozen meal",23.88,0.115,food,Existing Dataset
"rice soup, nfs",4.45,0.053,food,Existing Dataset
"barley soup, home recipe, canned, or ready-to-serve",1.18,0.058,food,Existing Dataset
"barley soup, sweet, with or without nuts, asian style",1.18,0.067,food,Existing Dataset
"beef noodle soup, canned or ready-to-serve",99.48,0.061,food,Existing Dataset
"beef dumpling soup, home recipe, canned or ready-to-serve",99.48,0.1,food,Existing Dataset
"beef rice soup, home recipe, canned or ready-to-serve",99.48,0.1,food,Existing Dataset
"beef noodle soup, home recipe",99.48,0.039,food,Existing Dataset
"chicken or turkey noodle soup, canned or ready-to-serve",9.87,0.019,food,Existing Dataset
"chicken or turkey noodle soup, home recipe",9.87,0.043,food,Existing Dataset
"chicken or turkey noodle soup, cream of, home recipe, canned, or ready-to-serve",9.87,0.014,food,Existing Dataset
"chicken or turkey noodle soup, reduced sodium, canned or ready-to-serve",9.87,0.025,food,Existing Dataset
"chicken or turkey rice soup, canned, or ready-to-serve",9.87,0.053,food,Existing Dataset
"chicken or turkey rice soup, home recipe",9.87,0.04,food,Existing Dataset
"chicken or turkey rice soup, reduced sodium, canned, prepared with water or ready-to-serve",9.87,0.032,food,Existing Dataset
"chicken or turkey rice soup, reduced sodium, canned, prepared with milk",9.87,0.027,food,Existing Dataset
"rice and potato soup, puerto rican style",4.45,0.058,food,Existing Dataset
"chicken or turkey soup with dumplings and potatoes, home recipe, canned, or ready-to-serve",9.87,0.028,food,Existing Dataset
"chicken or turkey soup with dumplings, home recipe, canned or ready-to-serve",9.87,0.028,food,Existing Dataset
"macaroni with beef and tomato sauce, baby food, toddler",99.48,0.02,food,Existing Dataset
"macaroni and cheese, baby food, strained",23.88,0.02,food,Existing Dataset
"macaroni and cheese, baby food, toddler",23.88,0.041,food,Existing Dataset
"apple, dried",0.43,0.191,food,Existing Dataset
"blueberries, dried",1.53,0.16,food,Existing Dataset
"cranberries, dried",1.53,0.063,food,Existing Dataset
"fruit, nfs",0.39,0.064,food,Existing Dataset
"fruit, pickled",0.39,0.052,food,Existing Dataset
"apple, raw",0.43,0.027,food,Existing Dataset
"applesauce, regular",0.43,0.032,food,Existing Dataset
"applesauce, unsweetened",0.43,0.027,food,Existing Dataset
"applesauce, flavored",0.43,0.032,food,Existing Dataset
"apple, baked",0.43,0.03,food,Existing Dataset
"banana, raw",0.86,0.078,food,Existing Dataset
"banana, fried",0.86,0.079,food,Existing Dataset
"grapes, raw",1.53,0.127,food,Existing Dataset
"berries, nfs",1.53,0.051,food,Existing Dataset
"blackberries, raw",1.53,0.165,food,Existing Dataset
"blackberries, frozen",1.53,0.12,food,Existing Dataset
"blueberries, raw",1.53,0.057,food,Existing Dataset
"bluberries, canned",1.53,0.053,food,Existing Dataset
"blueberries, frozen",1.53,0.033,food,Existing Dataset
"cranberries, raw",1.53,0.056,food,Existing Dataset
"raspberries, raw",1.53,0.09,food,Existing Dataset
"raspberries, frozen",1.53,0.09,food,Existing Dataset
"strawberries, raw",1.53,0.048,food,Existing Dataset
"strawberries, canned",1.53,0.063,food,Existing Dataset
"strawberries, frozen",1.53,0.049,food,Existing Dataset
"apple, candied",0.43,0.025,food,Existing Dataset
"fruit, chocolate covered",0.39,0.19,food,Existing Dataset
guacamole with tomatoes,2.09,0.175,food,Existing Dataset
"fruit, baby food, nfs",0.39,0.038,food,Existing Dataset
"apples, baby food, toddler",0.43,0.031,food,Existing Dataset
"applesauce, baby food, ns as to strained or junior",0.43,0.037,food,Existing Dataset
"applesauce, baby food, strained",0.43,0.038,food,Existing Dataset
"applesauce, baby food, junior",0.43,0.035,food,Existing Dataset
"applesauce and apricots, baby food, ns as to strained or junior",0.43,0.042,food,Existing Dataset
"applesauce and apricots, baby food, strained",0.43,0.041,food,Existing Dataset
"applesauce and apricots, baby food, junior",0.43,0.044,food,Existing Dataset
"applesauce with bananas, baby food, ns as to strained or junior",0.43,0.04,food,Existing Dataset
"applesauce with bananas, baby food, strained",0.43,0.04,food,Existing Dataset
"applesauce with bananas, baby food, junior",0.43,0.04,food,Existing Dataset
"applesauce with cherries, baby food, strained",0.43,0.045,food,Existing Dataset
"applesauce with cherries, baby food, junior",0.43,0.046,food,Existing Dataset
"applesauce with cherries, baby food, ns as to strained or junior",0.43,0.046,food,Existing Dataset
"bananas, baby food, strained",0.86,0.04,food,Existing Dataset
"bananas with apples and pears, baby food, strained",0.43,0.08,food,Existing Dataset
"bananas with orange, baby food, strained",0.86,0.099,food,Existing Dataset
"banana with mixed berries, baby food, strained",1.53,0.094,food,Existing Dataset
"apples and pears, baby food, ns as to strained or junior",0.43,0.054,food,Existing Dataset
"apples and pears, baby food, strained",0.43,0.052,food,Existing Dataset
"apples and pears, baby food, junior",0.43,0.057,food,Existing Dataset
"banana juice with lowfat yogurt, baby food",3.15,0.03,food,Existing Dataset
"mixed fruit juice with lowfat yogurt, baby food",3.15,0.03,food,Existing Dataset
"prunes with oatmeal, baby food, strained",2.48,0.061,food,Existing Dataset
"bananas, baby food, ns as to strained or junior",0.86,0.043,food,Existing Dataset
"bananas, baby food, junior",0.86,0.046,food,Existing Dataset
"bananas and pineapple, baby food, ns as to strained or junior",0.86,0.04,food,Existing Dataset
"bananas and pineapple, baby food, strained",0.86,0.039,food,Existing Dataset
"bananas and pineapple, baby food, junior",0.86,0.04,food,Existing Dataset
"bananas and strawberry, baby food, junior",0.86,0.087,food,Existing Dataset
"apple yogurt dessert, baby food, strained",3.15,0.05,food,Existing Dataset
"blueberry yogurt dessert, baby food, strained",3.15,0.03,food,Existing Dataset
"mixed fruit yogurt dessert, baby food, strained",3.15,0.02,food,Existing Dataset
"banana yogurt dessert, baby food, strained",3.15,0.02,food,Existing Dataset
"peach yogurt dessert, baby food, strained",3.15,0.04,food,Existing Dataset
"yogurt and fruit snack, baby food",3.15,0.092,food,Existing Dataset
"apples and chicken, baby food, strained",9.87,0.04,food,Existing Dataset
"apples with ham, baby food, strained",0.43,0.04,food,Existing Dataset
"apples and sweet potatoes, baby food, strained",0.46,0.09,food,Existing Dataset
"potato, nfs",0.46,0.204,food,Existing Dataset
"potato, baked, nfs",0.46,0.214,food,Existing Dataset
"potato, baked, peel not eaten",0.46,0.214,food,Existing Dataset
"potato, boiled, nfs",0.46,0.204,food,Existing Dataset
"potato, boiled, ready-to-heat",0.46,0.204,food,Existing Dataset
"potato, boiled, from fresh, peel not eaten, ns as to fat",0.46,0.204,food,Existing Dataset
"potato, boiled, from fresh, peel not eaten, no added fat",0.46,0.214,food,Existing Dataset
"potato, boiled, from fresh, peel not eaten, fat added, ns as to fat type",0.46,0.204,food,Existing Dataset
"potato, boiled, from fresh, peel not eaten, made with oil",0.46,0.204,food,Existing Dataset
"potato, boiled, from fresh, peel not eaten, made with butter",0.46,0.204,food,Existing Dataset
"potato, boiled, from fresh, peel not eaten, made with margarine",0.46,0.204,food,Existing Dataset
"potato, boiled, from fresh, peel eaten, ns as to fat",0.46,0.112,food,Existing Dataset
"potato, boiled, from fresh, peel eaten, fat added, ns as to fat type",0.46,0.112,food,Existing Dataset
"potato, boiled, from fresh,  peel eaten, no addded fat",0.46,0.118,food,Existing Dataset
"potato, boiled, from fresh, peel eaten, made with oil",0.46,0.112,food,Existing Dataset
"potato, boiled, from fresh, peel eaten, made with butter",0.46,0.112,food,Existing Dataset
"potato, boiled, from fresh, peel eaten, made with margarine",0.46,0.112,food,Existing Dataset
"potato, canned, ns as to fat",0.46,0.054,food,Existing Dataset
"potato, canned, fat added, ns as to fat type",0.46,0.054,food,Existing Dataset
"potato, canned, no added fat",0.46,0.057,food,Existing Dataset
"potato, roasted, nfs",0.46,0.204,food,Existing Dataset
"potato, roasted, from fresh, peel eaten, ns as to fat",0.46,0.112,food,Existing Dataset
"potato, roasted, from fresh, peel eaten, no added fat",0.46,0.118,food,Existing Dataset
"potato, roasted, from fresh, peel eaten, fat added, ns as to fat type",0.46,0.112,food,Existing Dataset
"potato, roasted, from fresh, peel eaten, made with oil",0.46,0.112,food,Existing Dataset
"potato, roasted, from fresh, peel eaten, made with butter",0.46,0.112,food,Existing Dataset
"potato, roasted, from fresh, peel eaten, made with margarine",0.46,0.112,food,Existing Dataset
"potato, roasted, from fresh, peel not eaten, ns as to fat",0.46,0.204,food,Existing Dataset
"potato, roasted, from fresh, peel not eaten, fat added, ns as to fat type",0.46,0.204,food,Existing Dataset
"potato, roasted, from fresh, peel not eaten, no added fat",0.46,0.214,food,Existing Dataset
"potato, roasted, from fresh, peel not eaten, made with oil",0.46,0.204,food,Existing Dataset
"potato, roasted, from fresh, peel not eaten, made with butter",0.46,0.204,food,Existing Dataset
"potato, roasted, from fresh, peel not eaten, made with margarine",0.46,0.204,food,Existing Dataset
"potato, roasted, ready-to-heat",0.46,0.204,food,Existing Dataset
"stewed potatoes, puerto rican style",0.46,0.16,food,Existing Dataset
"potato from puerto rican beef stew, with gravy",99.48,0.142,food,Existing Dataset
"potato from puerto rican chicken fricassee, with sauce",9.87,0.113,food,Existing Dataset
"potato, scalloped, nfs",0.46,0.116,food,Existing Dataset
"potato, scalloped, from fast food or restaurant",0.46,0.108,food,Existing Dataset
"potato, scalloped, from fresh",0.46,0.116,food,Existing Dataset
"potato, scalloped, from fresh, with meat",0.46,0.113,food,Existing Dataset
"potato, scalloped, from dry mix",0.46,0.109,food,Existing Dataset
"potato, scalloped, from dry mix, with meat",0.46,0.109,food,Existing Dataset
"potato, scalloped, ready-to-heat",0.46,0.107,food,Existing Dataset
"potato, scalloped, ready-to-heat, with meat",0.46,0.105,food,Existing Dataset
"potato, french fries, nfs",0.46,0.095,food,Existing Dataset
"potato, french fries, ns as to fresh or frozen",0.46,0.095,food,Existing Dataset
"potato, french fries, from fresh, fried",0.46,0.144,food,Existing Dataset
"potato, french fries, from fresh, baked",0.46,0.151,food,Existing Dataset
"potato, french fries, from frozen, baked",0.46,0.104,food,Existing Dataset
"potato, french fries, fast food",0.46,0.124,food,Existing Dataset
"potato, french fries, restaurant",0.46,0.112,food,Existing Dataset
"potato, french fries, from frozen, fried",0.46,0.095,food,Existing Dataset
"potato, french fries, school",0.46,0.151,food,Existing Dataset
"potato, french fries, with cheese, fast food / restaurant",0.46,0.089,food,Existing Dataset
"potato, french fries, with cheese, school",0.46,0.14,food,Existing Dataset
"potato, french fries, with chili, fast food / restaurant",0.46,0.114,food,Existing Dataset
"potato, french fries, with chili and cheese, fast food / restaurant",0.46,0.091,food,Existing Dataset
"potato, french fries, with cheese",0.46,0.089,food,Existing Dataset
"potato, french fries, with chili and cheese",0.46,0.091,food,Existing Dataset
"potato, french fries, with chili",0.46,0.114,food,Existing Dataset
"potato, home fries, nfs",0.46,0.144,food,Existing Dataset
"potato, home fries, from restaurant / fast food",0.46,0.14,food,Existing Dataset
"potato, home fries, from fresh",0.46,0.146,food,Existing Dataset
"potato, home fries, ready-to-heat",0.46,0.144,food,Existing Dataset
"potato, home fries, with vegetables",0.46,0.124,food,Existing Dataset
"potato, hash brown, nfs",0.46,0.114,food,Existing Dataset
"potato, hash brown, from fast food",0.46,0.1,food,Existing Dataset
"potato, hash brown, from fast food, with cheese",0.46,0.089,food,Existing Dataset
"potato, hash brown, from restaurant",0.46,0.1,food,Existing Dataset
"potato, hash brown, from restaurant, with cheese",0.46,0.089,food,Existing Dataset
"potato, hash brown, from school lunch",0.46,0.115,food,Existing Dataset
"potato, hash brown, from fresh",0.46,0.145,food,Existing Dataset
"potato, hash brown, from fresh, with cheese",0.46,0.128,food,Existing Dataset
"potato, hash brown, from dry mix",0.46,0.114,food,Existing Dataset
"potato, hash brown, ready-to-heat",0.46,0.114,food,Existing Dataset
"potato, hash brown, ready-to-heat, with cheese",0.46,0.1,food,Existing Dataset
"potato, mashed, nfs",0.46,0.169,food,Existing Dataset
"potato, mashed, from fast food",0.46,0.035,food,Existing Dataset
"potato, mashed, from fast food, with gravy",0.46,0.032,food,Existing Dataset
"potato, mashed, ready-to-heat",0.46,0.011,food,Existing Dataset
"potato, mashed, from fresh, made with milk",0.46,0.169,food,Existing Dataset
"potato, mashed, from fresh, made with milk, with cheese",0.46,0.154,food,Existing Dataset
"potato, mashed, from fresh, made with milk, with gravy",0.46,0.139,food,Existing Dataset
"potato, mashed, from fresh, nfs",0.46,0.169,food,Existing Dataset
"potato, mashed, from restaurant",0.46,0.161,food,Existing Dataset
"potato, mashed, from restaurant, with gravy",0.46,0.133,food,Existing Dataset
"potato, mashed, from school lunch",0.46,0.029,food,Existing Dataset
"potato, mashed, from dry mix, nfs",0.46,0.031,food,Existing Dataset
"potato, mashed, from dry mix, made with milk",0.46,0.031,food,Existing Dataset
"potato, mashed, from dry mix, made with milk, with cheese",0.46,0.031,food,Existing Dataset
"potato, mashed, from dry mix, made with milk, with gravy",0.46,0.029,food,Existing Dataset
"potato, mashed, ready-to-heat, nfs",0.46,0.011,food,Existing Dataset
"potato, mashed, ready-to-heat, with cheese",0.46,0.013,food,Existing Dataset
"potato, mashed, ready-to-heat, with gravy",0.46,0.013,food,Existing Dataset
"potato, baked, peel not eaten, with butter",0.46,0.203,food,Existing Dataset
"potato, baked, peel not eaten, with sour cream",0.46,0.187,food,Existing Dataset
"potato, baked, peel not eaten, with cheese",0.46,0.175,food,Existing Dataset
"potato, baked, peel not eaten, with meat",0.46,0.173,food,Existing Dataset
"potato, baked, peel not eaten, with chili",0.46,0.175,food,Existing Dataset
"potato, baked, peel not eaten, with vegetables",0.46,0.18,food,Existing Dataset
"potato, baked, peel eaten",0.46,0.117,food,Existing Dataset
"potato, baked, peel eaten, with butter",0.46,0.112,food,Existing Dataset
"potato, baked, peel eaten, with sour cream",0.46,0.103,food,Existing Dataset
"potato, baked, peel eaten, with cheese",0.46,0.098,food,Existing Dataset
"potato, baked, peel eaten, with meat",0.46,0.098,food,Existing Dataset
"potato, baked, peel eaten, with chili",0.46,0.104,food,Existing Dataset
"potato, baked, peel eaten, with vegetables",0.46,0.101,food,Existing Dataset
stewed potatoes,0.46,0.196,food,Existing Dataset
stewed potatoes with tomatoes,0.46,0.158,food,Existing Dataset
potato and cheese soup,23.88,0.052,food,Existing Dataset
"cassava, cooked",1.32,0.104,food,Existing Dataset
"lambsquarter, cooked",39.72,0.191,food,Existing Dataset
spinach and cheese casserole,23.88,0.13,food,Existing Dataset
broccoli casserole with rice,4.45,0.053,food,Existing Dataset
"broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve",23.88,0.016,food,Existing Dataset
"peas and carrots, fresh, cooked, no added fat",0.98,0.115,food,Existing Dataset
"peas and carrots, frozen, cooked, no added fat",0.98,0.093,food,Existing Dataset
"peas and carrots, canned, cooked, no added fat",0.98,0.105,food,Existing Dataset
"peas and carrots, cooked, ns as to form",0.98,0.111,food,Existing Dataset
"peas and carrots, fresh, cooked, fat added",0.98,0.111,food,Existing Dataset
"peas and carrots, frozen, cooked, fat added",0.98,0.091,food,Existing Dataset
"peas and carrots, canned, cooked, fat added",0.98,0.102,food,Existing Dataset
"carrot with rice soup, cream of, prepared with milk, home recipe, canned or ready-to-serve",4.45,0.037,food,Existing Dataset
"tomatoes, raw",2.09,0.059,food,Existing Dataset
"tomatoes, ns as to form, cooked",2.09,0.071,food,Existing Dataset
"tomatoes, fresh, cooked",2.09,0.071,food,Existing Dataset
"tomatoes, canned, cooked",2.09,0.05,food,Existing Dataset
"tomatoes, scalloped",2.09,0.091,food,Existing Dataset
"tomatoes, canned, reduced sodium, cooked",2.09,0.05,food,Existing Dataset
fried green tomatoes,2.09,0.074,food,Existing Dataset
"tomato, green, pickled",2.09,0.076,food,Existing Dataset
sun-dried tomatoes,2.09,1.423,food,Existing Dataset
vodka sauce with tomatoes and cream,2.09,0.061,food,Existing Dataset
steak sauce,3.5,0.189,food,Existing Dataset
"tomato beef soup, prepared with water",99.48,0.055,food,Existing Dataset
"tomato beef noodle soup, prepared with water",99.48,0.055,food,Existing Dataset
"tomato beef rice soup, prepared with water",99.48,0.055,food,Existing Dataset
"tomato rice soup, prepared with water",4.45,0.055,food,Existing Dataset
"leek, raw",0.5,0.12,food,Existing Dataset
"onions, green, raw",0.5,0.083,food,Existing Dataset
"onions, raw",0.5,0.039,food,Existing Dataset
"green peas, raw",0.98,0.176,food,Existing Dataset
"snowpeas, raw",0.98,0.079,food,Existing Dataset
"cabbage salad or coleslaw with apples and/or raisins, with dressing",0.43,0.032,food,Existing Dataset
"breadfruit, cooked",1.57,0.081,food,Existing Dataset
"leek, cooked",0.5,0.125,food,Existing Dataset
"onions, cooked, no added fat",0.5,0.046,food,Existing Dataset
"onions, cooked, fat added",0.5,0.044,food,Existing Dataset
"onions, pearl, cooked",0.5,0.023,food,Existing Dataset
"onions, green, cooked",0.5,0.095,food,Existing Dataset
"blackeyed peas, from frozen",0.98,0.178,food,Existing Dataset
"blackeyed peas, from canned",0.98,0.177,food,Existing Dataset
"green peas, cooked, from restaurant",0.98,0.174,food,Existing Dataset
"green peas, fresh, cooked, no added fat",0.98,0.183,food,Existing Dataset
"green peas, frozen, cooked, no added fat",0.98,0.105,food,Existing Dataset
"green peas, canned, cooked, no added fat",0.98,0.106,food,Existing Dataset
"green peas, ns as to form, cooked",0.98,0.102,food,Existing Dataset
"green peas, fresh, cooked, fat added, ns as to fat type",0.98,0.177,food,Existing Dataset
"green peas, frozen, cooked, fat added, ns as to fat type",0.98,0.102,food,Existing Dataset
"green peas, canned, cooked, fat added, ns as to fat type",0.98,0.103,food,Existing Dataset
"green peas, fresh, cooked with oil",0.98,0.177,food,Existing Dataset
"green peas, fresh, cooked with butter or margarine",0.98,0.177,food,Existing Dataset
"green peas, frozen, cooked with oil",0.98,0.102,food,Existing Dataset
"green peas, frozen, cooked with butter or margarine",0.98,0.102,food,Existing Dataset
"green peas, canned, cooked with oil",0.98,0.103,food,Existing Dataset
"green peas, canned, cooked with butter or margarine",0.98,0.103,food,Existing Dataset
"green peas, canned, reduced sodium, cooked, no added fat",0.98,0.135,food,Existing Dataset
"green peas, canned, reduced sodium, cooked, fat added, ns as to fat type",0.98,0.131,food,Existing Dataset
"green peas, canned, reduced sodium, cooked with oil",0.98,0.131,food,Existing Dataset
"green peas, canned, reduced sodium, cooked with butter or margarine",0.98,0.131,food,Existing Dataset
"peppers and onions, cooked, no added fat",0.5,0.049,food,Existing Dataset
"peppers and onions, cooked, fat added",0.5,0.048,food,Existing Dataset
"peas and corn, cooked, no added fat",0.98,0.076,food,Existing Dataset
"peas and corn, cooked, fat added",0.98,0.074,food,Existing Dataset
"vegetables, stew type, cooked, fat added",0.53,0.124,food,Existing Dataset
"vegetables, stew type, cooked, no added fat",0.53,0.13,food,Existing Dataset
eggplant with cheese and tomato sauce,23.88,0.087,food,Existing Dataset
pea salad with cheese,23.88,0.062,food,Existing Dataset
vegetable curry with rice,4.45,0.079,food,Existing Dataset
"vegetables, pickled",0.53,0.029,food,Existing Dataset
"mushroom with chicken soup, cream of, prepared with milk",9.87,0.02,food,Existing Dataset
"vegetable beef soup, canned, prepared with water, or ready-to-serve",99.48,0.078,food,Existing Dataset
"vegetable beef noodle soup, prepared with water",99.48,0.079,food,Existing Dataset
"vegetable rice soup, canned, prepared with water or ready-to-serve",4.45,0.1,food,Existing Dataset
"vegetable beef soup with rice, canned, prepared with water or ready-to-serve",99.48,0.079,food,Existing Dataset
"vegetable chicken rice soup, canned, prepared with water or ready-to-serve",9.87,0.1,food,Existing Dataset
"vegetable soup with chicken broth, home recipe, mexican style",9.87,0.063,food,Existing Dataset
"vegetable beef soup, home recipe",99.48,0.04,food,Existing Dataset
"vegetable beef soup, canned, prepared with milk",99.48,0.073,food,Existing Dataset
"vegetable beef soup with noodles or pasta, home recipe",99.48,0.046,food,Existing Dataset
"vegetable beef soup with rice, home recipe",99.48,0.043,food,Existing Dataset
"vegetable beef soup, chunky style",99.48,0.1,food,Existing Dataset
"carrots and peas, baby food, strained",0.98,0.051,food,Existing Dataset
"corn and sweet potatoes, baby food, strained",0.46,0.051,food,Existing Dataset
"sweet potatoes, baby food, ns as to strained or junior",0.46,0.09,food,Existing Dataset
"sweet potatoes, baby food, strained",0.46,0.081,food,Existing Dataset
"sweet potatoes, baby food, junior",0.46,0.1,food,Existing Dataset
"green beans and potatoes, baby food, strained",0.46,0.04,food,Existing Dataset
"peas, baby food, ns as to strained or junior",0.98,0.061,food,Existing Dataset
"peas, baby food, strained",0.98,0.061,food,Existing Dataset
"peas, baby food, junior",0.98,0.061,food,Existing Dataset
"peas, baby food, toddler",0.98,0.08,food,Existing Dataset
"potatoes, baby food, toddler",0.46,0.07,food,Existing Dataset
"vegetables and rice, baby food, strained",4.45,0.08,food,Existing Dataset
"peas and brown rice, baby food",4.45,0.08,food,Existing Dataset
"carrots and beef, baby food, strained",99.48,0.054,food,Existing Dataset
"vegetable and beef, baby food, ns as to strained or junior",99.48,0.03,food,Existing Dataset
"vegetable and beef, baby food, strained",99.48,0.03,food,Existing Dataset
"vegetable and beef, baby food, junior",99.48,0.03,food,Existing Dataset
"broccoli and chicken, baby food, strained",9.87,0.03,food,Existing Dataset
"sweet potatoes and chicken, baby food, strained",9.87,0.081,food,Existing Dataset
"vegetable and chicken, baby food, ns as to strained or junior",9.87,0.045,food,Existing Dataset
"vegetable and chicken, baby food, strained",9.87,0.07,food,Existing Dataset
"vegetable and chicken, baby food, junior",9.87,0.02,food,Existing Dataset
"potatoes with cheese and broccoli, baby food, toddler",23.88,0.06,food,Existing Dataset
"fried stuffed potatoes, puerto rican style",0.46,0.105,food,Existing Dataset
"potato chicken pie, puerto rican style",9.87,0.107,food,Existing Dataset
"cassava pasteles, puerto rican style",1.32,0.091,food,Existing Dataset
"cassava fritter stuffed with crab meat, puerto rican style",1.32,0.302,food,Existing Dataset
"butter, nfs",12.0,0.0,food,Existing Dataset
"butter, stick",12.0,0.0,food,Existing Dataset
"butter, tub",12.0,0.01,food,Existing Dataset
"butter, light",12.0,0.0,food,Existing Dataset
"butter replacement, liquid",3.15,0.0,food,Existing Dataset
"butter-oil blend, nfs",3.15,0.01,food,Existing Dataset
"butter-oil blend, stick",3.15,0.0,food,Existing Dataset
"butter-oil blend, tub",3.15,0.01,food,Existing Dataset
"butter-oil blend, light",3.15,0.0,food,Existing Dataset
"butter replacement, powder",3.15,0.0,food,Existing Dataset
lemon-butter sauce,3.15,0.002,food,Existing Dataset
honey butter,3.15,0.021,food,Existing Dataset
blue or roquefort cheese dressing,23.88,0.009,food,Existing Dataset
yogurt dressing,3.15,0.013,food,Existing Dataset
"blue or roquefort cheese dressing, light",23.88,0.01,food,Existing Dataset
"blue or roquefort cheese dressing, fat free",23.88,0.015,food,Existing Dataset
"beef, for use with vegetables",27.0,0.12,food,Existing Dataset
"chicken, for use with vegetables",6.9,0.064,food,Existing Dataset
"cheese sauce, for use with vegetables",23.88,0.018,food,Existing Dataset
"onions, for use on a sandwich",0.5,0.039,food,Existing Dataset
"tomatoes, for use on a sandwich",2.09,0.059,food,Existing Dataset
"sugar, nfs",1.5,0.007,food,Existing Dataset
"sugar, white, granulated or lump",1.5,0.007,food,Existing Dataset
"sugar, white, confectioner's, powdered",1.5,0.007,food,Existing Dataset
"sugar, brown",1.5,0.047,food,Existing Dataset
"sugar, cinnamon",1.5,0.03,food,Existing Dataset
